问题id,问题,实体答案,final_ans1,ans_list
10,本次发行前，大连派思燃气系统股份有限公司的控股股东持有公司的多少股份？占公司总股份的多少？,大连派思燃气系统股份有限公司,"本次发行前，大连派思燃气系统股份有限公司的控股股东派思投资持有公司的65.89%股份，占总股本的65.89%。
本次发行前，大连派思燃气系统股份有限公司的控股股东持有公司的股份数量为5,950万股，占公司总股份的65.89%。
本次发行前，大连派思燃气系统股份有限公司的控股股东派思投资持有公司的股份比例为65.89%，占 总 股份的比例为65.89%。
本次发行前，大连派思燃气系统股份有限公司的控股股东派思投资持有公司的股份比例为34.86%，占总股本的34.86%。
本次发行前，大连派思燃气系统股份有限公司的控股股东成大沿海基金壹期持有公司的3.32%股份，占总股本的3.32%。
本次发行前，大连派思燃气系统股份有限公司的控股股东派思投资持有公司的股份为75,984,000股，占总股本的42.26%。
本次发行前，大连派思燃气系统股份有限公司的控股股东派思投资持有公司的股份为74,894,118股，占总股本的37.42%。
本次发行前，大连派思燃气系统股份有限公司的控股股东派思投资持有公司的股份为91,337,800股，占公司总股本的34.64% 。
本次发行前，大连派思燃气系统股份有限公司的控股股东派思投资持有公司的5,950万股股份，占公司总股本的65.89%。
本次发行前，大连派思燃气系统股份有限公司的控股股东派思投资持有公司的股份数量为5,950万股，占公司总股份的65.89%。
","['本次发行前，大连派思燃气系统股份有限公司的控股股东派思投资持有公司的65.89%股份，占总股本的65.89%。', '本次发行前，大连派思燃气系统股份有限公司的控股股东持有公司的股份数量为5,950万股，占公司总股份的65.89%。', '本次发行前，大连派思燃气系统股份有限公司的控股股东派思投资持有公司的股份比例为65.89%，占 总 股份的比例为65.89%。', '本次发行前，大连派思燃气系统股份有限公司的控股股东派思投资持有公司的股份比例为34.86%，占总股本的34.86%。', '本次发行前，大连派思燃气系统股份有限公司的控股股东成大沿海基金壹期持有公司的3.32%股份，占总股本的3.32%。', '本次发行前，大连派思燃气系统股份有限公司的控股股东派思投资持有公司的股份为75,984,000股，占总股本的42.26%。', '本次发行前，大连派思燃气系统股份有限公司的控股股东派思投资持有公司的股份为74,894,118股，占总股本的37.42%。', '本次发行前，大连派思燃气系统股份有限公司的控股股东派思投资持有公司的股份为91,337,800股，占公司总股本的34.64% 。', '本次发行前，大连派思燃气系统股份有限公司的控股股东派思投资持有公司的5,950万股股份，占公司总股本的65.89%。', '本次发行前，大连派思燃气系统股份有限公司的控股股东派思投资持有公司的股份数量为5,950万股，占公司总股份的65.89%。']"
11,请问2019年三季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点两位。,N_A,N_A,[]
12,帮我查一下湘财长弘灵活配置混合A基金在20210419的资产净值和单位净值是多少?,N_A,N_A,[]
13,近三年，广东银禧科技股份有限公司总资产周转率分别为多少？,广东银禧科技股份有限公司,"近三年，广东银禧科技股份有限公司总资产周转率分别为1.84次、1.50次和1.56次。
根据资料可知，2007～2009年，广东银禧科技股份有限公司的总资产周转率分别为0.74次、0.83次和0.88次。
广东银禧科技股份有限公司总资产周转率近三年分别为1.84次、1.50次和1.56次。
广东银禧科技股份有限公司近三年的总资产周转率分别为1.56、1.50和1.84。
根据资料，广东银禧科技股份有限公司近三年的总资产周转率分别为1.56、1.50和1.84。
","['近三年，广东银禧科技股份有限公司总资产周转率分别为1.84次、1.50次和1.56次。', '根据资料可知，2007～2009年，广东银禧科技股份有限公司的总资产周转率分别为0.74次、0.83次和0.88次。', '广东银禧科技股份有限公司总资产周转率近三年分别为1.84次、1.50次和1.56次。', '广东银禧科技股份有限公司近三年的总资产周转率分别为1.56、1.50和1.84。', '根据资料，广东银禧科技股份有限公司近三年的总资产周转率分别为1.56、1.50和1.84。']"
14,我想知道安信稳健回报6个月持有期混合A基金在20211231的年报(含半年报)中，其可转债持仓占比最大的是哪个行业？用中信一级行业来统计。,N_A,N_A,[]
15,云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品具有哪些较强的竞争优势？,云南沃森生物技术股份有限公司,"云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品具有以下较强竞争优势：1. 产品便利性：该疫苗采用冻干剂型，使得疫苗在有效期内的安全性和有效性更有保障。2. 内毒素含量低：该疫苗每剂内毒素含量不超过200EU，内毒素含量远低于中国药典流脑多糖疫苗标准，从而保证了疫苗临床使用的高安全性。3. 游离多糖和游离蛋白含量控制严格：该疫苗游离多糖和游离蛋白含量均达到或超过欧洲药典相应标准，充分保证了疫苗的安全性和有效性。4. 适用年龄段广泛：该疫苗被国家食品药品监督管理局批准可用于3月龄婴儿的接种，说明其具有优良的安全性和有效性。
云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品具有以下竞争优势：1. 该产品是全球第一个可以用于3月龄婴儿以上人群的可以同时预防A、C脑膜炎球菌血清群疾病的冻干剂型脑膜炎疫苗；2. 该产品的标准全面达到欧洲药典要求，并且在多项关键指标方面高于欧洲药典标准，保障了产品的高质量和安全性；3. 该产品是科技部“国家863计划”重大攻关课题支持项目和国家发改委“2009年关键产业领域自主创新及高技术产业化专项”支持项目；4. 该产品具有较强的专利技术基础，是唯一一家按照国家一类新药标准申请注册并获得生产批件的A、C脑膜炎球菌结合疫苗生产企业。
云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品相较于已经纳入国家计划免疫规划的A、C群脑膜炎球菌多糖疫苗，具有在接种人群覆盖范围、疫苗生产技术先进性、疫苗质量安全性和有效性等方面的较大优势。
云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品相较于目前已经纳入国家计划免疫规划的A、C群脑膜炎球菌多糖疫苗，在接种人群覆盖范围、疫苗生产技术先进性、疫苗质量安全性和有效性等方面均存在较大优势。此外，由于A、C脑膜炎球菌多糖结合疫苗不能用于2岁以下婴幼儿，而我国流脑的流行病学呈现C群流脑病例不断上升的现象，因此A、C脑膜炎球菌结合疫苗逐渐替代A群流脑多糖疫苗和A、C群脑膜炎球菌多糖疫苗是我国流脑疫苗发展的趋势，这也为云南沃森生物技术股份有限公司的该产品提供了更大的市场空间。
云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品具有国内领先的细菌多糖结合疫苗技术和国际先进的水平。其细菌多糖结合疫苗的各项质量指标均达到世界卫生组织规程和《欧洲药典》的规定，且在细菌多糖内毒素含量、结合物原液游离多糖含量等关键指标方面，该公司的注册质量标准高于《欧洲药典》相应规定。此外，该公司的Hib随机盲法对照的临床研究结果也表明其研制的Hib的安全性和有效性均与国际领先疫苗企业同类产品相同。因此，该公司生产的A、C脑膜炎球菌多糖结合疫苗产品具有较高的安全性和有效性，且质量标准高于国际规定，具有较强的市场竞争优势。
云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品具有以下较强的竞争优势：1. 内毒素含量低，每剂不超过200EU，内毒素含量远低于中国药典流脑多糖疫苗标准，从而保证了疫苗临床使用的高安全性。2. 游离多糖含量、游离蛋白含量均进行严格控制，均达到或超过欧洲药典相应标准，充分保证了疫苗的安全性和有效性。3. 该疫苗被国家食品药品监督管理局批准可用于3月龄婴儿的接种，而疫苗接种年龄越低对疫苗品质的要求就越高，说明发行人该疫苗具有优良的安全性和有效性。
云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品具有较强的市场竞争优势，包括研发能力、产品储备、成功的产业化经验和中层技术骨干和管理人员等方面的优势。
云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品具有以下竞争优势：1. 具有国内领先的细菌多糖结合疫苗技术；2. 研发的A、C脑膜炎球菌多糖结合疫苗质量指标达到世界卫生组织规程和《欧洲药典》的规定，部分关键指标甚至高于《欧洲药典》相应规定；3. 该产品的临床研究结果表明其安全性和有效性均与国际领先疫苗企业同类产品相同，证明公司研制细菌多糖结合疫苗的技术达到国际先进水平。
云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品具有以下竞争优势：1. 公司掌握了细菌多糖与蛋白结合的核心技术；2. Hib与冻干A、C群脑膜炎球菌多糖结合疫苗两个结合疫苗均已上市销售，是国内第一家拥有两个细菌多糖结合疫苗并获准上市的企业；3. 公司在新型佐剂疫苗、联合疫苗等方面具有集成优势；4. 公司在细菌发酵、酵母发酵、二倍体细胞建株、大规模哺乳动物细胞培养、疫苗质量标准建立等方面具有丰富的经验；5. 公司在多糖抗原、重组蛋白抗原、病毒抗原层析纯化以及疫苗质量控制和质量标准研究方面也具有丰富经验和核心技术。
云南沃森生物技术股份有限公司的A、C脑膜炎球菌多糖结合疫苗产品具有丰富的疫苗产品储备、结构优良、研发速度快、产业化顺利推进等较强的竞争优势。
","['云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品具有以下较强竞争优势：1. 产品便利性：该疫苗采用冻干剂型，使得疫苗在有效期内的安全性和有效性更有保障。2. 内毒素含量低：该疫苗每剂内毒素含量不超过200EU，内毒素含量远低于中国药典流脑多糖疫苗标准，从而保证了疫苗临床使用的高安全性。3. 游离多糖和游离蛋白含量控制严格：该疫苗游离多糖和游离蛋白含量均达到或超过欧洲药典相应标准，充分保证了疫苗的安全性和有效性。4. 适用年龄段广泛：该疫苗被国家食品药品监督管理局批准可用于3月龄婴儿的接种，说明其具有优良的安全性和有效性。', '云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品具有以下竞争优势：1. 该产品是全球第一个可以用于3月龄婴儿以上人群的可以同时预防A、C脑膜炎球菌血清群疾病的冻干剂型脑膜炎疫苗；2. 该产品的标准全面达到欧洲药典要求，并且在多项关键指标方面高于欧洲药典标准，保障了产品的高质量和安全性；3. 该产品是科技部“国家863计划”重大攻关课题支持项目和国家发改委“2009年关键产业领域自主创新及高技术产业化专项”支持项目；4. 该产品具有较强的专利技术基础，是唯一一家按照国家一类新药标准申请注册并获得生产批件的A、C脑膜炎球菌结合疫苗生产企业。', '云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品相较于已经纳入国家计划免疫规划的A、C群脑膜炎球菌多糖疫苗，具有在接种人群覆盖范围、疫苗生产技术先进性、疫苗质量安全性和有效性等方面的较大优势。', '云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品相较于目前已经纳入国家计划免疫规划的A、C群脑膜炎球菌多糖疫苗，在接种人群覆盖范围、疫苗生产技术先进性、疫苗质量安全性和有效性等方面均存在较大优势。此外，由于A、C脑膜炎球菌多糖结合疫苗不能用于2岁以下婴幼儿，而我国流脑的流行病学呈现C群流脑病例不断上升的现象，因此A、C脑膜炎球菌结合疫苗逐渐替代A群流脑多糖疫苗和A、C群脑膜炎球菌多糖疫苗是我国流脑疫苗发展的趋势，这也为云南沃森生物技术股份有限公司的该产品提供了更大的市场空间。', '云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品具有国内领先的细菌多糖结合疫苗技术和国际先进的水平。其细菌多糖结合疫苗的各项质量指标均达到世界卫生组织规程和《欧洲药典》的规定，且在细菌多糖内毒素含量、结合物原液游离多糖含量等关键指标方面，该公司的注册质量标准高于《欧洲药典》相应规定。此外，该公司的Hib随机盲法对照的临床研究结果也表明其研制的Hib的安全性和有效性均与国际领先疫苗企业同类产品相同。因此，该公司生产的A、C脑膜炎球菌多糖结合疫苗产品具有较高的安全性和有效性，且质量标准高于国际规定，具有较强的市场竞争优势。', '云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品具有以下较强的竞争优势：1. 内毒素含量低，每剂不超过200EU，内毒素含量远低于中国药典流脑多糖疫苗标准，从而保证了疫苗临床使用的高安全性。2. 游离多糖含量、游离蛋白含量均进行严格控制，均达到或超过欧洲药典相应标准，充分保证了疫苗的安全性和有效性。3. 该疫苗被国家食品药品监督管理局批准可用于3月龄婴儿的接种，而疫苗接种年龄越低对疫苗品质的要求就越高，说明发行人该疫苗具有优良的安全性和有效性。', '云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品具有较强的市场竞争优势，包括研发能力、产品储备、成功的产业化经验和中层技术骨干和管理人员等方面的优势。', '云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品具有以下竞争优势：1. 具有国内领先的细菌多糖结合疫苗技术；2. 研发的A、C脑膜炎球菌多糖结合疫苗质量指标达到世界卫生组织规程和《欧洲药典》的规定，部分关键指标甚至高于《欧洲药典》相应规定；3. 该产品的临床研究结果表明其安全性和有效性均与国际领先疫苗企业同类产品相同，证明公司研制细菌多糖结合疫苗的技术达到国际先进水平。', '云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品具有以下竞争优势：1. 公司掌握了细菌多糖与蛋白结合的核心技术；2. Hib与冻干A、C群脑膜炎球菌多糖结合疫苗两个结合疫苗均已上市销售，是国内第一家拥有两个细菌多糖结合疫苗并获准上市的企业；3. 公司在新型佐剂疫苗、联合疫苗等方面具有集成优势；4. 公司在细菌发酵、酵母发酵、二倍体细胞建株、大规模哺乳动物细胞培养、疫苗质量标准建立等方面具有丰富的经验；5. 公司在多糖抗原、重组蛋白抗原、病毒抗原层析纯化以及疫苗质量控制和质量标准研究方面也具有丰富经验和核心技术。', '云南沃森生物技术股份有限公司的A、C脑膜炎球菌多糖结合疫苗产品具有丰富的疫苗产品储备、结构优良、研发速度快、产业化顺利推进等较强的竞争优势。']"
16,根据联化科技股份有限公司招股意见书，精细化工产品的通常利润率是多少？,联化科技股份有限公司,"根据资料，精细化工产品的通常利润率在10%以上，有的高达30%-50%。
联化科技股份有限公司招股意见书中提到，其农药中间体产品正处于上升期，与同行业上市公司相比，2006年联化科技的平均毛利率为39.24%。因此，根据该信息，精细化工产品的通常利润率是39.24%。
精细化工行业的重要特点是品种多、更新快，因而对研究开发能力，特别是研发速度和配套工艺开发能力的要求很高，这也导致技术垄断性强、销售利润率高。部分精细化工产品生产要求高转化率、高选择性、反应条件温和、操作安全、分离严格，这对合成技术的要求很高；精细化工品多以间歇方式小批量生产，生产过程复杂，往往需要经过多个环节，因此对生产装置和工艺流程的要求较高。
精细化工行业的重要特点是品种多、更新快，因而对研究开发能力，特别是研发速度和配套工艺开发能力的要求很高，这也导致技术垄断性强、销售利润率高。部分精细化工产品生产要求高转化率、高选择性、反应条件温和、操作安全、分离严格，这对合成技术的要求很高；精细化工品多以间歇方式小批量生产，生产流程较长，规模小，单元设备投资费用低，但需要精密的工程技术；产品的商品性强，竞争激烈，研究和生产单位要具有全面的应用技术。
根据联化科技股份有限公司招股意见书，精细化工产品的通常利润率在10%以上。
","['根据资料，精细化工产品的通常利润率在10%以上，有的高达30%-50%。', '联化科技股份有限公司招股意见书中提到，其农药中间体产品正处于上升期，与同行业上市公司相比，2006年联化科技的平均毛利率为39.24%。因此，根据该信息，精细化工产品的通常利润率是39.24%。', '精细化工行业的重要特点是品种多、更新快，因而对研究开发能力，特别是研发速度和配套工艺开发能力的要求很高，这也导致技术垄断性强、销售利润率高。部分精细化工产品生产要求高转化率、高选择性、反应条件温和、操作安全、分离严格，这对合成技术的要求很高；精细化工品多以间歇方式小批量生产，生产过程复杂，往往需要经过多个环节，因此对生产装置和工艺流程的要求较高。', '精细化工行业的重要特点是品种多、更新快，因而对研究开发能力，特别是研发速度和配套工艺开发能力的要求很高，这也导致技术垄断性强、销售利润率高。部分精细化工产品生产要求高转化率、高选择性、反应条件温和、操作安全、分离严格，这对合成技术的要求很高；精细化工品多以间歇方式小批量生产，生产流程较长，规模小，单元设备投资费用低，但需要精密的工程技术；产品的商品性强，竞争激烈，研究和生产单位要具有全面的应用技术。', '根据联化科技股份有限公司招股意见书，精细化工产品的通常利润率在10%以上。']"
17,各报告期末，江苏旷达汽车织物集团股份有限公司存货分别为多少万元？占流动资产的比例分别多少？,旷达汽车织物集团股份有限公司,"各报告期末，江苏旷达汽车织物集团股份有限公司存货分别为4,924.58万元、6,647.27万元、8,576.59万元和9,832.60万元；占流动资产的比例分别为14.15%、20.32%、17.02%和21.14%。
各报告期末，江苏旷达汽车织物集团股份有限公司存货分别为：2007年末为6,032.75万元，占流动资产比例为17.82%；2008年末为6,454.49万元，占流动资产比例为19.04%；2009年末为9,254.40万元，占流动资产比例为27.40%；2010年半年末为10,431.44万元，占流动资产比例为32.34%。
各报告期末，江苏旷达汽车织物集团股份有限公司存货分别为4,924.58万元、6,647.27万元、8,576.59万元和9,832.60万元。占各期末流动资产的比例分别为14.15%、20.32%、17.02%和21.14%。
各报告期末，江苏旷达汽车织物集团股份有限公司存货分别为4,924.58万元、6,647.27万元、8,576.59万元和9,832.60万元，占流动资产的比例分别为14.15%、20.32%、17.02%和21.14%。
各报告期末，江苏旷达汽车织物集团股份有限公司存货分别为4,924.58万元、6,647.27万元、8,576.59万元和9,832.60万元。占流动资产的比例分别为14.15%、20.32%、17.02%和21.14%。
根据资料，各报告期末，江苏旷达汽车织物集团股份有限公司存货分别为：2008年末存货余值为27,549.26万元，占流动资产的比列为42.74%；2009年末存货余值为35,622.67万元，占流动资产的比列为44.24%；2010年6月末存货余值为40,632.98万元，占流动资产的比列为45.40%。
各报告期末，江苏旷达汽车织物集团股份有限公司存货分别为 4,924.58 万元、6,647.27 万元、8,576.59 万元和9,832.60万元。占流动资产的比例分别为14.15%、20.32%、17.02%和21.14%。
各报告期末，江苏旷达汽车织物集团股份有限公司存货分别为4,924.58万元、8,576.59万元、9,832.60万元。占流动资产的比例分别为14.15%、17.02%、21.14%。
各报告期末，江苏旷达汽车织物集团股份有限公司存货分别为12,209.88万元、10,229.46万元、14,620.58万元和14,770.76万元。占各报告期末流动资产的比例分别为35.09%、31.27%、29.02%和31.76%。
根据资料，2008年末、2009年末、2010年半年末，江苏旷达汽车织物集团股份有限公司的存货金额分别为32708.65万元、50381.91万元、46502.30万元；占流动资产的比例分别为41.41%、53.33%、51.80%。
","['各报告期末，江苏旷达汽车织物集团股份有限公司存货分别为4,924.58万元、6,647.27万元、8,576.59万元和9,832.60万元；占流动资产的比例分别为14.15%、20.32%、17.02%和21.14%。', '各报告期末，江苏旷达汽车织物集团股份有限公司存货分别为：2007年末为6,032.75万元，占流动资产比例为17.82%；2008年末为6,454.49万元，占流动资产比例为19.04%；2009年末为9,254.40万元，占流动资产比例为27.40%；2010年半年末为10,431.44万元，占流动资产比例为32.34%。', '各报告期末，江苏旷达汽车织物集团股份有限公司存货分别为4,924.58万元、6,647.27万元、8,576.59万元和9,832.60万元。占各期末流动资产的比例分别为14.15%、20.32%、17.02%和21.14%。', '各报告期末，江苏旷达汽车织物集团股份有限公司存货分别为4,924.58万元、6,647.27万元、8,576.59万元和9,832.60万元，占流动资产的比例分别为14.15%、20.32%、17.02%和21.14%。', '各报告期末，江苏旷达汽车织物集团股份有限公司存货分别为4,924.58万元、6,647.27万元、8,576.59万元和9,832.60万元。占流动资产的比例分别为14.15%、20.32%、17.02%和21.14%。', '根据资料，各报告期末，江苏旷达汽车织物集团股份有限公司存货分别为：2008年末存货余值为27,549.26万元，占流动资产的比列为42.74%；2009年末存货余值为35,622.67万元，占流动资产的比列为44.24%；2010年6月末存货余值为40,632.98万元，占流动资产的比列为45.40%。', '各报告期末，江苏旷达汽车织物集团股份有限公司存货分别为 4,924.58 万元、6,647.27 万元、8,576.59 万元和9,832.60万元。占流动资产的比例分别为14.15%、20.32%、17.02%和21.14%。', '各报告期末，江苏旷达汽车织物集团股份有限公司存货分别为4,924.58万元、8,576.59万元、9,832.60万元。占流动资产的比例分别为14.15%、17.02%、21.14%。', '各报告期末，江苏旷达汽车织物集团股份有限公司存货分别为12,209.88万元、10,229.46万元、14,620.58万元和14,770.76万元。占各报告期末流动资产的比例分别为35.09%、31.27%、29.02%和31.76%。', '根据资料，2008年末、2009年末、2010年半年末，江苏旷达汽车织物集团股份有限公司的存货金额分别为32708.65万元、50381.91万元、46502.30万元；占流动资产的比例分别为41.41%、53.33%、51.80%。']"
18,2019年中期报告里，华夏基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者多的基金有多少只?,N_A,N_A,[]
19,"假设股票日收益率计算公式为：日收益率 = （当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2021年，申万行业分类行业划分标准,银行一级行业中, 代码为多少的股票的日均收益率最高？",N_A,N_A,[]
20,在20201022，按照中信行业分类的行业划分标准，哪个一级行业的A股公司数量最多？,N_A,N_A,[]
21,华瑞电器股份有限公司获得多少项国内专利？其中有多上项发明专利？,华瑞电器股份有限公司,"华瑞电器股份有限公司拥有国内专利58项，其中13项发明专利，45项实用新型专利。
华瑞电器股份有限公司拥有国内专利58项，其中13项发明专利。
截至本招股意向书签署日，发行人及其子公司拥有的专利情况如下：3、土地使用权（1）土地使用权截至招股意向书签署日，发行人及其子公司拥有7宗土地使用权，面积共计251,266.10平方米，均取得了土地使用证，具体情况如下：
华瑞电器股份有限公司拥有国内专利58项，其中13项发明专利。
华瑞电器股份有限公司拥有国内专利 58 项，其中 13 项发明专利。
华瑞电器股份有限公司拥有国内专利58项，其中13项发明专利，45项实用新型专利。
华瑞电器股份有限公司获得的商标数量是9项。其中有7项是通过申请获得的。
","['华瑞电器股份有限公司拥有国内专利58项，其中13项发明专利，45项实用新型专利。', '华瑞电器股份有限公司拥有国内专利58项，其中13项发明专利。', '截至本招股意向书签署日，发行人及其子公司拥有的专利情况如下：3、土地使用权（1）土地使用权截至招股意向书签署日，发行人及其子公司拥有7宗土地使用权，面积共计251,266.10平方米，均取得了土地使用证，具体情况如下：', '华瑞电器股份有限公司拥有国内专利58项，其中13项发明专利。', '华瑞电器股份有限公司拥有国内专利 58 项，其中 13 项发明专利。', '华瑞电器股份有限公司拥有国内专利58项，其中13项发明专利，45项实用新型专利。', '华瑞电器股份有限公司获得的商标数量是9项。其中有7项是通过申请获得的。']"
22,我想知道招商安润灵活配置混合A基金，在2021年半年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,N_A,N_A,[]
23,帮我查询在2020年12月31日，代码为007678的基金前20大重仓股票中属于中信二级照明电工及其他行业的平均市值是多少？小数点后保留不超过3位。,N_A,N_A,[]
