问题id,问题,SQL语句,prompt
10,"",N_A,N_A
11,请问2019年三季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点两位。,"SELECT COUNT(DISTINCT t1.[基金代码]), ROUND(SUM(t1.[报告期期末基金总份额] - t1.[报告期期初基金总份额]),2)
FROM 基金规模变动表 t1
WHERE t1.[截止日期] = '2019-09-30 00:00:00'
AND t1.[报告期期末基金总份额] > t1.[报告期期初基金总份额];","
        你是一个精通SQL语句的程序员。
        我会给你一个问题，请按照问题描述，仿照以下例子写出正确的SQL代码。
    以下是一些例子：问题：请问2015年二季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点两位。
SQL：SELECT COUNT(DISTINCT t1.[基金代码]), ROUND(SUM(t1.[报告期期末基金总份额] - t1.[报告期期初基金总份额]),2)
FROM 基金规模变动表 t1
WHERE t1.[截止日期] = '2015-06-30 00:00:00'
AND t1.[报告期期末基金总份额] > t1.[报告期期初基金总份额];
问题：请问2018年一季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点四位。
SQL：SELECT COUNT(DISTINCT t1.[基金代码]), ROUND(SUM(t1.[报告期期末基金总份额] - t1.[报告期期初基金总份额]),4)
FROM 基金规模变动表 t1
WHERE t1.[截止日期] = '2018-03-31 00:00:00'
AND t1.[报告期期末基金总份额] > t1.[报告期期初基金总份额];
问题：2017年四季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。
SQL：SELECT COUNT(DISTINCT t1.[基金代码]), ROUND(SUM( t1.[报告期期初基金总份额] - t1.[报告期期末基金总份额]),2)
FROM 基金规模变动表 t1
WHERE t1.[截止日期] = '2017-12-31 00:00:00'
AND t1.[报告期期末基金总份额] < t1.[报告期期初基金总份额];
问题：2016年二季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。
SQL：SELECT COUNT(DISTINCT t1.[基金代码]), ROUND(SUM( t1.[报告期期初基金总份额] - t1.[报告期期末基金总份额]),2)
FROM 基金规模变动表 t1
WHERE t1.[截止日期] = '2016-06-30 00:00:00'
AND t1.[报告期期末基金总份额] < t1.[报告期期初基金总份额];
问题：2018年一季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。
SQL：SELECT COUNT(DISTINCT t1.[基金代码]), ROUND(SUM( t1.[报告期期初基金总份额] - t1.[报告期期末基金总份额]),2)
FROM 基金规模变动表 t1
WHERE t1.[截止日期] = '2018-03-31 00:00:00'
AND t1.[报告期期末基金总份额] < t1.[报告期期初基金总份额];
问题：请问2019年三季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点两位。
SQL："
12,帮我查一下湘财长弘灵活配置混合A基金在20210419的资产净值和单位净值是多少?,"SELECT t2.[资产净值], t2.[单位净值],t1.[基金简称]
FROM 基金基本信息 t1
JOIN 基金日行情表 t2 ON t1.[基金代码] = t2.[基金代码]
WHERE t2.[交易日期] = '20210419'
AND t1.[基金简称] = '湘财长弘灵活配置混合A';","
        你是一个精通SQL语句的程序员。
        我会给你一个问题，请按照问题描述，仿照以下例子写出正确的SQL代码。
    以下是一些例子：问题：帮我查一下蟹黄堡概念混合A基金在20211215的资产净值和单位净值是多少?
SQL：SELECT t2.[资产净值], t2.[单位净值],t1.[基金简称]
FROM 基金基本信息 t1
JOIN 基金日行情表 t2 ON t1.[基金代码] = t2.[基金代码]
WHERE t2.[交易日期] = '20211215'
AND t1.[基金简称] = '蟹黄堡概念混合A';
问题：帮我查一下蟹黄堡概念混合A基金在20211215的资产净值和复权单位净值是多少?
SQL：SELECT t2.[资产净值], t2.[复权单位净值],t1.[基金简称]
FROM 基金基本信息 t1
JOIN 基金日行情表 t2 ON t1.[基金代码] = t2.[基金代码]
WHERE t2.[交易日期] = '20211215'
AND t1.[基金简称] = '蟹黄堡概念混合A';
问题：帮我查一下蟹黄堡概念混合A基金在20181215的累计单位净值是多少?
SQL：SELECT t2.[累计单位净值],t1.[基金简称]
FROM 基金基本信息 t1
JOIN 基金日行情表 t2 ON t1.[基金代码] = t2.[基金代码]
WHERE t2.[交易日期] = '20181215'
AND t1.[基金简称] = '蟹黄堡概念混合A';
问题：20180909日，请给出魔仙堡木叶村混合A基金的管理人和累计单位净值。
SQL：SELECT t1.[管理人], t2.[累计单位净值]
FROM 基金基本信息 t1
JOIN 基金日行情表 t2 ON t1.[基金代码] = t2.[基金代码]
WHERE t2.[交易日期] = '20180909' 
AND t1.[基金简称] = '魔仙堡木叶村混合A';
问题：在2016年报中，魔仙堡木叶村混合A基金第五大重仓股的代码和股票名称是什么？
SQL：SELECT t1.[股票代码], t1.[股票名称]
FROM 基金股票持仓明细 t1
WHERE t1.[基金简称] = '魔仙堡木叶村混合A' 
AND t1.[持仓日期] = '20161231'
AND t1.[第N大重仓股] = '5'
LIMIT 1;
问题：帮我查一下湘财长弘灵活配置混合A基金在20210419的资产净值和单位净值是多少?
SQL："
13,近三年，广东银禧科技股份有限公司总资产周转率分别为多少？,N_A,N_A
14,我想知道安信稳健回报6个月持有期混合A基金在20211231的年报(含半年报)中，其可转债持仓占比最大的是哪个行业？用中信一级行业来统计。,"SELECT t2.[一级行业名称]
FROM 基金可转债持仓明细 t1
JOIN A股公司行业划分表 t2 ON t1.[对应股票代码] = t2.[股票代码] AND t1.[持仓日期] = t2.[交易日期]
WHERE t1.[基金简称] = '安信稳健回报6个月持有期混合A' 
AND t2.[行业划分标准] = '中信行业分类'
AND t1.[持仓日期] = '20211231'
GROUP BY t2.[一级行业名称]
ORDER BY SUM(t1.[市值占基金资产净值比]) DESC
LIMIT 1;","
        你是一个精通SQL语句的程序员。
        我会给你一个问题，请按照问题描述，仿照以下例子写出正确的SQL代码。
    以下是一些例子：问题：我想知道太平天国债券A基金在20201231的年报(含半年报)中，其可转债持仓占比最大的是哪个行业？用中信一级行业来统计。
SQL：SELECT t2.[一级行业名称]
FROM 基金可转债持仓明细 t1
JOIN A股公司行业划分表 t2 ON t1.[对应股票代码] = t2.[股票代码] AND t1.[持仓日期] = t2.[交易日期]
WHERE t1.[基金简称] = '太平天国债券A' 
AND t2.[行业划分标准] = '中信行业分类'
AND t1.[持仓日期] = '20201231'
GROUP BY t2.[一级行业名称]
ORDER BY SUM(t1.[市值占基金资产净值比]) DESC
LIMIT 1;
问题：我想知道羊村狼堡混合C基金在20161231的年报(含半年报)中，其可转债持仓占比最大的是哪个行业？用中信一级行业来统计。
SQL：SELECT t2.[一级行业名称]
FROM 基金可转债持仓明细 t1
JOIN A股公司行业划分表 t2 ON t1.[对应股票代码] = t2.[股票代码] AND t1.[持仓日期] = t2.[交易日期]
WHERE t1.[基金简称] = '羊村狼堡混合C' 
AND t2.[行业划分标准] = '中信行业分类'
AND t1.[持仓日期] = '20161231'
AND t1.[报告类型] = '年报(含半年报)'
GROUP BY t2.[一级行业名称]
ORDER BY SUM(t1.[市值占基金资产净值比]) DESC
LIMIT 1;
问题：我想知道天线宝宝彩虹小马混合驱动基金在20201231的年报(含半年报)中，其可转债持仓占比最大的是哪个行业？用中信一级行业来统计。
SQL：SELECT t2.[一级行业名称]
FROM 基金可转债持仓明细 t1
JOIN A股公司行业划分表 t2 ON t1.[对应股票代码] = t2.[股票代码] AND t1.[持仓日期] = t2.[交易日期]
WHERE t1.[基金简称] = '天线宝宝彩虹小马混合驱动' 
AND t2.[行业划分标准] = '中信行业分类'
AND t1.[持仓日期] = '20201231'
GROUP BY t2.[一级行业名称]
ORDER BY SUM(t1.[市值占基金资产净值比]) DESC
LIMIT 1;
问题：我想知道彩虹小马一号稳健A基金在20200331的季报中，其可转债持仓占比最大的是哪个行业？用中信一级行业来统计。
SQL：SELECT t2.[一级行业名称]
FROM 基金可转债持仓明细 t1
JOIN A股公司行业划分表 t2 ON t1.[对应股票代码] = t2.[股票代码] AND t1.[持仓日期] = t2.[交易日期]
WHERE t1.[基金简称] = '彩虹小马一号稳健A' 
AND t2.[行业划分标准] = '中信行业分类'
AND t1.[持仓日期] = '20200331'
GROUP BY t2.[一级行业名称]
ORDER BY SUM(t1.[市值占基金资产净值比]) DESC
LIMIT 1;
问题：我想知道木叶村混合C基金在20200331的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。
SQL：SELECT t2.[一级行业名称]
FROM 基金可转债持仓明细 t1
JOIN A股公司行业划分表 t2 ON t1.[对应股票代码] = t2.[股票代码] AND t1.[持仓日期] = t2.[交易日期]
WHERE t1.[基金简称] = '木叶村混合C' 
AND t2.[行业划分标准] = '申万行业分类'
AND t1.[持仓日期] = '20200331'
AND t1.[报告类型] = '季报'
GROUP BY t2.[一级行业名称]
ORDER BY SUM(t1.[市值占基金资产净值比]) DESC
LIMIT 1;
问题：我想知道安信稳健回报6个月持有期混合A基金在20211231的年报(含半年报)中，其可转债持仓占比最大的是哪个行业？用中信一级行业来统计。
SQL："
15,云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品具有哪些较强的竞争优势？,N_A,N_A
16,根据联化科技股份有限公司招股意见书，精细化工产品的通常利润率是多少？,N_A,N_A
17,各报告期末，江苏旷达汽车织物集团股份有限公司存货分别为多少万元？占流动资产的比例分别多少？,N_A,N_A
18,2019年中期报告里，华夏基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者多的基金有多少只?,"SELECT COUNT(DISTINCT t1.[基金代码])
FROM 基金份额持有人结构 t1
JOIN 基金基本信息 t2 ON t1.[基金代码] = t2.[基金代码]
WHERE t1.[机构投资者持有的基金份额] > t1.[个人投资者持有的基金份额]
AND t2.[管理人] = '华夏基金管理有限公司'
AND t1.[定期报告所属年度] = '2019'
AND t1.[报告类型] = '中期报告';","
        你是一个精通SQL语句的程序员。
        我会给你一个问题，请按照问题描述，仿照以下例子写出正确的SQL代码。
    以下是一些例子：问题：2021年中期报告里，比奇堡基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者多的基金有多少只?
SQL：SELECT COUNT(DISTINCT t1.[基金代码])
FROM 基金份额持有人结构 t1
JOIN 基金基本信息 t2 ON t1.[基金代码] = t2.[基金代码]
WHERE t1.[机构投资者持有的基金份额] > t1.[个人投资者持有的基金份额]
AND t2.[管理人] = '比奇堡基金管理有限公司'
AND t1.[定期报告所属年度] = '2021'
AND t1.[报告类型] = '中期报告';
问题：2020年年度报告里，比奇堡基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者多的基金有多少只?
SQL：SELECT COUNT(DISTINCT t1.[基金代码])
FROM 基金份额持有人结构 t1
JOIN 基金基本信息 t2 ON t1.[基金代码] = t2.[基金代码]
WHERE t1.[机构投资者持有的基金份额] > t1.[个人投资者持有的基金份额]
AND t2.[管理人] = '比奇堡基金管理有限公司'
AND t1.[定期报告所属年度] = '2020'
AND t1.[报告类型] = '年度报告';
问题：2021年年度报告里，比奇堡基金管理有限公司管理的基金中，个人投资者持有份额比机构投资者多的基金有多少只?
SQL：SELECT COUNT(DISTINCT t1.[基金代码])
FROM 基金份额持有人结构 t1
JOIN 基金基本信息 t2 ON t1.[基金代码] = t2.[基金代码]
WHERE  t1.[个人投资者持有的基金份额]  > t1.[机构投资者持有的基金份额]
AND t2.[管理人] = '比奇堡基金管理有限公司'
AND t1.[定期报告所属年度] = '2021'
AND t1.[报告类型] = '年度报告';
问题：在2017年的年度报告里，比奇堡基金管理有限公司管理的基金中，有多少比例的基金是个人投资者持有的份额超过机构投资者？需要一个精确到两位小数的百分比。
SQL：SELECT ROUND(CAST(SUM(t2.[机构投资者持有的基金份额] > t2.[个人投资者持有的基金份额])*100 AS FLOAT)/COUNT(DISTINCT t1.[基金代码]),2)
FROM 基金基本信息 t1
JOIN 基金份额持有人结构 t2 ON t1.[基金代码] = t2.[基金代码]
WHERE t1.[管理人] = '比奇堡基金管理有限公司' 
AND t2.[报告类型] = '年度报告'
AND t2.[定期报告所属年度] = '2017';
问题：在2014年的年度报告里，小可爱基金管理有限公司管理的基金中，有多少比例的基金是机构投资者持有的份额超过个人投资者？最好是一个精确到2位小数的百分比。
SQL：SELECT ROUND(CAST(SUM(t2.[机构投资者持有的基金份额] < t2.[个人投资者持有的基金份额])*100 AS FLOAT)/COUNT(DISTINCT t1.[基金代码]),2)
FROM 基金基本信息 t1
JOIN 基金份额持有人结构 t2 ON t1.[基金代码] = t2.[基金代码]
WHERE t1.[管理人] = '小可爱基金管理有限公司' 
AND t2.[报告类型] = '年度报告'
AND t2.[定期报告所属年度] = '2014';
问题：2019年中期报告里，华夏基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者多的基金有多少只?
SQL："
19,"假设股票日收益率计算公式为：日收益率 = （当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2021年，申万行业分类行业划分标准,银行一级行业中, 代码为多少的股票的日均收益率最高？","SELECT t1.[股票代码], AVG((t1.[收盘价(元)] - t1.[昨收盘(元)]) / t1.[昨收盘(元)]) * 100 AS 日均收益率
FROM A股票日行情表 t1
JOIN A股公司行业划分表 t2 ON t1.[股票代码] = t2.[股票代码] AND t1.[交易日] = t2.[交易日期]
WHERE t1.[交易日] >= '20210101' AND t1.[交易日] <= '20211231'
AND t2.[行业划分标准] = '申万行业分类'
AND t2.[一级行业名称] = '银行'
GROUP BY t1.[股票代码]
ORDER BY 日均收益率 DESC
LIMIT 1;","
        你是一个精通SQL语句的程序员。
        我会给你一个问题，请按照问题描述，仿照以下例子写出正确的SQL代码。
    以下是一些例子：问题：假设股票日收益率计算公式为：日收益率 = （当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2020年，申万行业分类行业划分标准,彩虹小马饲养一级行业中, 代码为多少的股票的日均收益率最高？
SQL：SELECT t1.[股票代码], AVG((t1.[收盘价(元)] - t1.[昨收盘(元)]) / t1.[昨收盘(元)]) * 100 AS 日均收益率
FROM A股票日行情表 t1
JOIN A股公司行业划分表 t2 ON t1.[股票代码] = t2.[股票代码] AND t1.[交易日] = t2.[交易日期]
WHERE t1.[交易日] >= '20200101' AND t1.[交易日] <= '20201231'
AND t2.[行业划分标准] = '申万行业分类'
AND t2.[一级行业名称] = '彩虹小马饲养'
GROUP BY t1.[股票代码]
ORDER BY 日均收益率 DESC
LIMIT 1;
问题：假设股票日收益率计算公式为：日收益率 = （当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2020年，申万行业分类行业划分标准,彩虹小马饲养一级行业中, 代码为多少的股票的日均收益率最低？
SQL：SELECT t1.[股票代码], AVG((t1.[收盘价(元)] - t1.[昨收盘(元)]) / t1.[昨收盘(元)]) * 100 AS 日均收益率
FROM A股票日行情表 t1
JOIN A股公司行业划分表 t2 ON t1.[股票代码] = t2.[股票代码] AND t1.[交易日] = t2.[交易日期]
WHERE t1.[交易日] >= '20200101' AND t1.[交易日] <= '20201231'
AND t2.[行业划分标准] = '申万行业分类'
AND t2.[一级行业名称] = '彩虹小马饲养'
GROUP BY t1.[股票代码]
ORDER BY 日均收益率 ASC
LIMIT 1;
问题：假设股票日收益率计算公式为：日收益率 = （当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2016年，中信行业分类行业划分标准,彩虹小马饲养一级行业中, 代码为多少的股票的日均收益率最高？
SQL：SELECT t1.[股票代码], AVG((t1.[收盘价(元)] - t1.[昨收盘(元)]) / t1.[昨收盘(元)]) * 100 AS 日均收益率
FROM A股票日行情表 t1
JOIN A股公司行业划分表 t2 ON t1.[股票代码] = t2.[股票代码] AND t1.[交易日] = t2.[交易日期]
WHERE t1.[交易日] >= '20160101' AND t1.[交易日] <= '20161231'
AND t2.[行业划分标准] = '中信行业分类'
AND t2.[一级行业名称] = '彩虹小马饲养'
GROUP BY t1.[股票代码]
ORDER BY 日均收益率 DESC
LIMIT 1;
问题：假设股票日收益率计算公式为：日收益率 = （当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2022年，申万行业分类行业划分标准,彩虹小马饲养二级行业中, 代码为多少的股票的日均收益率最高？
SQL：SELECT t1.[股票代码], AVG((t1.[收盘价(元)] - t1.[昨收盘(元)]) / t1.[昨收盘(元)]) * 100 AS 日均收益率
FROM A股票日行情表 t1
JOIN A股公司行业划分表 t2 ON t1.[股票代码] = t2.[股票代码] AND t1.[交易日] = t2.[交易日期]
WHERE t1.[交易日] >= '20220101' AND t1.[交易日] <= '20221231'
AND t2.[行业划分标准] = '申万行业分类'
AND t2.[二级行业名称] = '彩虹小马饲养'
GROUP BY t1.[股票代码]
ORDER BY 日均收益率 DESC
LIMIT 1;
问题：请查询在20160730日期，申万行业分类下彩虹小马饲养一级行业中，当日收盘价波动最大（即最高价与最低价之差最大）的股票代码是什么？
SQL：SELECT t1.[股票代码]
FROM A股票日行情表 t1
JOIN A股公司行业划分表 t2 ON t1.[股票代码] = t2.[股票代码] AND t1.[交易日] = t2.[交易日期]
WHERE t1.[交易日] = '20160730'
AND t2.[行业划分标准] = '申万行业分类'
AND t2.[一级行业名称] = '彩虹小马饲养'
ORDER BY (t1.[最高价(元)] - t1.[最低价(元)]) DESC
LIMIT 1;
问题：假设股票日收益率计算公式为：日收益率 = （当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2021年，申万行业分类行业划分标准,银行一级行业中, 代码为多少的股票的日均收益率最高？
SQL："
20,在20201022，按照中信行业分类的行业划分标准，哪个一级行业的A股公司数量最多？,"SELECT t1.[一级行业名称], COUNT(t1.[股票代码]) as 股票数量
FROM A股公司行业划分表 t1
WHERE t1.[行业划分标准] = '中信行业分类'
AND t1.[交易日期] = '20201022'
GROUP BY t1.[一级行业名称]
ORDER BY 股票数量 DESC
LIMIT 1;","
        你是一个精通SQL语句的程序员。
        我会给你一个问题，请按照问题描述，仿照以下例子写出正确的SQL代码。
    以下是一些例子：问题：在20161022，按照中信行业分类的行业划分标准，哪个一级行业的A股公司数量最多？
SQL：SELECT t1.[一级行业名称], COUNT(t1.[股票代码]) as 股票数量
FROM A股公司行业划分表 t1
WHERE t1.[行业划分标准] = '中信行业分类'
AND t1.[交易日期] = '20161022'
GROUP BY t1.[一级行业名称]
ORDER BY 股票数量 DESC
LIMIT 1;
问题：在20170423，按照申万行业分类的行业划分标准，哪个一级行业的A股公司数量最多？
SQL：SELECT t1.[一级行业名称], COUNT(t1.[股票代码]) as 股票数量
FROM A股公司行业划分表 t1
WHERE t1.[行业划分标准] = '申万行业分类' 
AND t1.[交易日期] = '20170423'
GROUP BY t1.[一级行业名称]
ORDER BY 股票数量 DESC
LIMIT 1;
问题：在20220618，按照申万行业分类的行业划分标准，哪个一级行业的A股公司数量最少？
SQL：SELECT t1.[一级行业名称], COUNT(t1.[股票代码]) as 股票数量
FROM A股公司行业划分表 t1
WHERE t1.[行业划分标准] = '申万行业分类' 
AND t1.[交易日期] = '20220618'
GROUP BY t1.[一级行业名称]
ORDER BY 股票数量 ASC
LIMIT 1;
问题：在2016年1月31日，使用中信行业分类标准，股票代码114514是属于哪个一级行业的?
SQL：SELECT t1.[一级行业名称]
FROM A股公司行业划分表 t1
WHERE t1.[交易日期] = '20160131'
AND t1.[行业划分标准] = '中信行业分类'
AND t1.[股票代码] = '114514';
问题：请问在彩虹小马饲养行业，20181107行业的A股公司有多少?
SQL：SELECT COUNT(DISTINCT t2.[股票代码]) 
FROM A股公司行业划分表 t2 
WHERE t2.[一级行业名称] = '彩虹小马饲养' 
AND t2.[交易日期] = '20181107';
问题：在20201022，按照中信行业分类的行业划分标准，哪个一级行业的A股公司数量最多？
SQL："
21,华瑞电器股份有限公司获得多少项国内专利？其中有多上项发明专利？,N_A,N_A
22,我想知道招商安润灵活配置混合A基金，在2021年半年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,"SELECT COUNT(DISTINCT t0.[股票代码])
FROM 基金股票持仓明细 t0
JOIN(
SELECT t3.[股票代码], ([期末价]/[期初价] - 1)*100 AS 当期涨跌幅
FROM (
SELECT t1.[股票代码],t1.[收盘价(元)] AS [期末价],t1.[交易日]
FROM (SELECT * FROM A股票日行情表
UNION SELECT * FROM 港股票日行情表) t1
JOIN(
SELECT MAX(t2.[交易日]) AS 最后一天
FROM A股票日行情表 t2
WHERE t2.[交易日] >= '20210101'
AND t2.[交易日] <= '20210630' )
WHERE t1.[交易日] = 最后一天) t3
JOIN(
SELECT t1.[股票代码],t1.[昨收盘(元)] AS [期初价],t1.[交易日]
FROM (SELECT * FROM A股票日行情表
UNION SELECT * FROM 港股票日行情表) t1
JOIN(
SELECT MIN(t2.[交易日]) AS 第一天
FROM A股票日行情表 t2
WHERE t2.[交易日] >= '20210101'
AND t2.[交易日] <= '20210630' )
WHERE t1.[交易日] = 第一天) t4 
ON t3.[股票代码] = t4.[股票代码]) t1 ON t0.[股票代码] = t1.[股票代码]
WHERE t0.[基金简称] = '招商安润灵活配置混合A' 
AND t1.[当期涨跌幅] > 0
AND t0.[第N大重仓股] <= '10'
AND t0.[持仓日期] = '20210630';","
        你是一个精通SQL语句的程序员。
        我会给你一个问题，请按照问题描述，仿照以下例子写出正确的SQL代码。
    以下是一些例子：问题：我想知道木叶村火影优选混合基金，在2018年半年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。
SQL：SELECT COUNT(DISTINCT t0.[股票代码])
FROM 基金股票持仓明细 t0
JOIN(
SELECT t3.[股票代码], ([期末价]/[期初价] - 1)*100 AS 当期涨跌幅
FROM (
SELECT t1.[股票代码],t1.[收盘价(元)] AS [期末价],t1.[交易日]
FROM (SELECT * FROM A股票日行情表
UNION SELECT * FROM 港股票日行情表) t1
JOIN(
SELECT MAX(t2.[交易日]) AS 最后一天
FROM A股票日行情表 t2
WHERE t2.[交易日] >= '20180101'
AND t2.[交易日] <= '20180630' )
WHERE t1.[交易日] = 最后一天) t3
JOIN(
SELECT t1.[股票代码],t1.[昨收盘(元)] AS [期初价],t1.[交易日]
FROM (SELECT * FROM A股票日行情表
UNION SELECT * FROM 港股票日行情表) t1
JOIN(
SELECT MIN(t2.[交易日]) AS 第一天
FROM A股票日行情表 t2
WHERE t2.[交易日] >= '20180101'
AND t2.[交易日] <= '20180630' )
WHERE t1.[交易日] = 第一天) t4 
ON t3.[股票代码] = t4.[股票代码]) t1 ON t0.[股票代码] = t1.[股票代码]
WHERE t0.[基金简称] = '木叶村火影优选混合' 
AND t1.[当期涨跌幅] > 0
AND t0.[第N大重仓股] <= '10'
AND t0.[持仓日期] = '20180630';
问题：我想知道木叶村魔仙堡混合C基金，在2016年半年度报告中，前15大重仓股中，有多少只股票在报告期内取得正收益。
SQL：SELECT COUNT(DISTINCT t0.[股票代码])
FROM 基金股票持仓明细 t0
JOIN(
SELECT t3.[股票代码], ([期末价]/[期初价] - 1)*100 AS 当期涨跌幅
FROM (
SELECT t1.[股票代码],t1.[收盘价(元)] AS [期末价],t1.[交易日]
FROM (SELECT * FROM A股票日行情表
UNION SELECT * FROM 港股票日行情表) t1
JOIN(
SELECT MAX(t2.[交易日]) AS 最后一天
FROM A股票日行情表 t2
WHERE t2.[交易日] >= '20160101'
AND t2.[交易日] <= '20160630' )
WHERE t1.[交易日] = 最后一天) t3
JOIN(
SELECT t1.[股票代码],t1.[昨收盘(元)] AS [期初价],t1.[交易日]
FROM (SELECT * FROM A股票日行情表
UNION SELECT * FROM 港股票日行情表) t1
JOIN(
SELECT MIN(t2.[交易日]) AS 第一天
FROM A股票日行情表 t2
WHERE t2.[交易日] >= '20160101'
AND t2.[交易日] <= '20160630' )
WHERE t1.[交易日] = 第一天) t4 
ON t3.[股票代码] = t4.[股票代码]) t1 ON t0.[股票代码] = t1.[股票代码]
WHERE t0.[基金简称] = '木叶村魔仙堡混合C' 
AND t1.[当期涨跌幅] > 0
AND t0.[第N大重仓股] <= '15'
AND t0.[持仓日期] = '20160630';
问题：我想知道招商安润灵活配置混合A基金，在2021年半年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。
SQL："
23,帮我查询在2020年12月31日，代码为007678的基金前20大重仓股票中属于中信二级照明电工及其他行业的平均市值是多少？小数点后保留不超过3位。,"SELECT ROUND(AVG(t1.[市值]),3) as 平均市值
FROM 基金股票持仓明细 t1
JOIN A股公司行业划分表 t2 ON t1.[股票代码] = t2.[股票代码] AND t1.[持仓日期] = t2.[交易日期]
WHERE t1.[基金代码] = '007678'
AND t1.[持仓日期] = '20201231'
AND t2.[行业划分标准] = '中信行业分类'
AND t2.[二级行业名称] = '照明电工及其他'
AND t1.[第N大重仓股] <= '20'
ORDER BY t1.[市值] DESC;","
        你是一个精通SQL语句的程序员。
        我会给你一个问题，请按照问题描述，仿照以下例子写出正确的SQL代码。
    以下是一些例子：问题：帮我查询在2016年12月31日，代码为114514的基金前20大重仓股票中属于中信二级彩虹小马饲养行业的平均市值是多少？小数点后保留不超过3位。
SQL：SELECT ROUND(AVG(t1.[市值]),3) as 平均市值
FROM 基金股票持仓明细 t1
JOIN A股公司行业划分表 t2 ON t1.[股票代码] = t2.[股票代码] AND t1.[持仓日期] = t2.[交易日期]
WHERE t1.[基金代码] = '114514'
AND t1.[持仓日期] = '20161231'
AND t2.[行业划分标准] = '中信行业分类'
AND t2.[二级行业名称] = '彩虹小马饲养'
AND t1.[第N大重仓股] <= '20'
ORDER BY t1.[市值] DESC;
问题：请查询：在20180511，属于中信二级彩虹小马饲养行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过3位。
SQL：SELECT ROUND(AVG(t1.[成交金额(元)]),3) as 平均成交金额
FROM A股公司行业划分表 t2
JOIN A股票日行情表 t1 ON t2.[股票代码] = t1.[股票代码] AND t2.[交易日期] = t1.[交易日]
WHERE t2.[行业划分标准] = '中信行业分类'
AND t2.[二级行业名称] = '彩虹小马'
AND t1.[交易日] = '20180511';
问题：请查询：在20160320，属于申万二级彩虹小马饲养行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。
SQL：SELECT ROUND(AVG(t1.[成交金额(元)]),5) as 平均成交金额
FROM A股公司行业划分表 t2
JOIN A股票日行情表 t1 ON t1.[股票代码] = t2.[股票代码] AND t1.[交易日] = t2.[交易日期]
WHERE t2.[行业划分标准] = '申万行业分类'
AND t2.[二级行业名称] = '彩虹小马饲养'
AND t1.[交易日] = '20160320';
问题：请查询：在20181030，属于申万二级彩虹小马饲养行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。
SQL：SELECT ROUND(AVG(t1.[成交金额(元)]),5) as 平均成交金额
FROM A股公司行业划分表 t2
JOIN A股票日行情表 t1 ON t2.[股票代码] = t1.[股票代码] AND t2.[交易日期] = t1.[交易日]
WHERE t2.[行业划分标准] = '申万行业分类'
AND t2.[二级行业名称] = '彩虹小马饲养'
AND t1.[交易日] = '20181030';
问题：帮我算一下在20150716,代码为37201的港股日价格振幅是多少，小数点后保留不超过3位。
SQL：SELECT ROUND(t1.[最高价(元)] - t1.[最低价(元)],3) AS 日价格振幅
FROM 港股票日行情表 t1
WHERE t1.[股票代码] = '37201' AND t1.[交易日] = '20150716';
问题：帮我查询在2020年12月31日，代码为007678的基金前20大重仓股票中属于中信二级照明电工及其他行业的平均市值是多少？小数点后保留不超过3位。
SQL："
24,深圳信立泰药业股份有限公司注射用头孢西丁钠（信希汀、1.0克装）在2006 年、2007 年、2008 年、2009 年1-6 月的最高零售价格分别为多少？,N_A,N_A
